Target,Doses,Model,Env,Frame,Sample Size,Value
0.25,3,MCA (delta=0.0),0.05,0,3,38
0.25,3,MCA (delta=0.0),0.05,1,6,38.8
0.25,3,MCA (delta=0.0),0.05,2,9,40.9
0.25,3,MCA (delta=0.0),0.05,3,12,44.2
0.25,3,MCA (delta=0.0),0.05,4,15,44.5
0.25,3,MCA (delta=0.0),0.05,5,18,44.5
0.25,3,MCA (delta=0.0),0.05,6,21,46.8
0.25,3,MCA (delta=0.0),0.05,7,24,46.7
0.25,3,MCA (delta=0.0),0.05,8,27,47.7
0.25,3,MCA (delta=0.0),0.05,9,30,48.1
0.25,3,MCA (delta=0.0),0.05,10,33,47.4
0.25,3,MCA (delta=0.0),0.05,11,36,48.5
0.25,3,MCA (delta=0.0),0.05,12,39,48.5
0.25,3,MCA (delta=0.0),0.05,13,42,49
0.25,3,MCA (delta=0.0),0.05,14,45,49.5
0.25,3,MCA (delta=0.0),0.05,15,48,50.2
0.25,3,MCA (delta=0.0),0.05,16,51,50.1
0.25,3,MCA (delta=0.0),0.05,17,54,50.2
0.25,3,MCA (delta=0.0),0.05,18,57,50.5
0.25,3,MCA (delta=0.0),0.05,19,60,51
0.25,3,MCA (delta=0.0),0.07,0,3,40.3
0.25,3,MCA (delta=0.0),0.07,1,6,44.7
0.25,3,MCA (delta=0.0),0.07,2,9,45.1
0.25,3,MCA (delta=0.0),0.07,3,12,47.8
0.25,3,MCA (delta=0.0),0.07,4,15,50
0.25,3,MCA (delta=0.0),0.07,5,18,50.1
0.25,3,MCA (delta=0.0),0.07,6,21,49.8
0.25,3,MCA (delta=0.0),0.07,7,24,51.9
0.25,3,MCA (delta=0.0),0.07,8,27,53.1
0.25,3,MCA (delta=0.0),0.07,9,30,54
0.25,3,MCA (delta=0.0),0.07,10,33,54.4
0.25,3,MCA (delta=0.0),0.07,11,36,54.9
0.25,3,MCA (delta=0.0),0.07,12,39,54.2
0.25,3,MCA (delta=0.0),0.07,13,42,55
0.25,3,MCA (delta=0.0),0.07,14,45,55.8
0.25,3,MCA (delta=0.0),0.07,15,48,56.5
0.25,3,MCA (delta=0.0),0.07,16,51,57.2
0.25,3,MCA (delta=0.0),0.07,17,54,57
0.25,3,MCA (delta=0.0),0.07,18,57,57.7
0.25,3,MCA (delta=0.0),0.07,19,60,57.6
0.25,3,MCA (delta=0.0),0.1,0,3,44.2
0.25,3,MCA (delta=0.0),0.1,1,6,47.5
